Node,Feature,Threshold,Value
302,1,5.332115173339844,"[[24792.897065341473, 36.94846785068512, 446.77673691511154]]"
303,-2,-2.0,"[[11065.685370206833, 0.0, 0.0]]"
304,0,4.5,"[[13727.21169513464, 36.94846785068512, 446.77673691511154]]"
305,1,6.254212856292725,"[[729.0307785272598, 20.32314920425415, 276.2306501865387]]"
306,-2,-2.0,"[[715.441810131073, 0.0, 74.89000368118286]]"
307,-2,-2.0,"[[13.588968396186829, 20.32314920425415, 201.34064650535583]]"
308,-2,-2.0,"[[12998.18091660738, 16.62531864643097, 170.54608672857285]]"
309,-2,-2.0,"[[128.6401867866516, 86.13179349899292, 230.3412200808525]]"
310,1,23.587139129638672,"[[104448.56435698271, 384.72874534130096, 238.5537185072899]]"
311,-2,-2.0,"[[93753.52278101444, 151.74743765592575, 145.70326566696167]]"
312,0,22.5,"[[10695.041575968266, 232.9813076853752, 92.85045284032822]]"
313,2,7.095487117767334,"[[275.35591304302216, 156.1492766737938, 23.466415464878082]]"
314,-2,-2.0,"[[2.3898805975914, 148.14491868019104, 21.420792043209076]]"
315,-2,-2.0,"[[272.96603244543076, 8.004357993602753, 2.0456234216690063]]"
316,-2,-2.0,"[[10419.685662925243, 76.83203101158142, 69.38403737545013]]"
317,0,10.5,"[[121086.65359055996, 3773.774076104164, 8904.326419055462]]"
318,2,6.900497674942017,"[[55476.277328789234, 1431.4518176913261, 7938.0361768603325]]"
319,1,11.476405620574951,"[[36293.920687019825, 1308.4797469973564, 1638.8126977682114]]"
320,2,3.0720901489257812,"[[36255.04428434372, 873.4206418395042, 1619.9744147658348]]"
321,1,6.960954904556274,"[[15243.08926641941, 617.1217111945152, 111.90457797050476]]"
322,-2,-2.0,"[[12527.43435972929, 205.64749056100845, 111.17673724889755]]"
323,0,7.5,"[[2715.6549066901207, 411.4742206335068, 0.7278407216072083]]"
324,-2,-2.0,"[[77.1044312119484, 247.0892019867897, 0.7278407216072083]]"
325,-2,-2.0,"[[2638.5504754781723, 164.38501864671707, 0.0]]"
326,0,6.5,"[[21011.95501792431, 256.298930644989, 1508.06983679533]]"
327,1,7.792856693267822,"[[13404.847546577454, 215.78673815727234, 1450.1300299167633]]"
328,1,1.8354034423828125,"[[13390.615039229393, 69.85500144958496, 1263.291147351265]]"
329,-2,-2.0,"[[4541.265830516815, 0.0, 0.0]]"
330,0,0.5,"[[8849.349208712578, 69.85500144958496, 1263.291147351265]]"
331,1,2.16749906539917,"[[166.0160403251648, 19.221569538116455, 438.5337997674942]]"
332,-2,-2.0,"[[162.41262245178223, 0.0, 24.211100816726685]]"
333,-2,-2.0,"[[3.6034178733825684, 19.221569538116455, 414.3226989507675]]"
334,0,4.5,"[[8683.333168387413, 50.633431911468506, 824.7573475837708]]"
335,1,5.980584144592285,"[[4765.6211133003235, 49.17834782600403, 782.1434489488602]]"
336,0,3.5,"[[4765.6211133003235, 4.0656232833862305, 546.6220190525055]]"
337,1,3.7402411699295044,"[[1952.5407054424286, 4.0656232833862305, 494.4223997592926]]"
338,-2,-2.0,"[[1824.220505952835, 0.0, 36.92466688156128]]"
339,-2,-2.0,"[[128.3201994895935, 4.0656232833862305, 457.4977328777313]]"
340,-2,-2.0,"[[2813.080407857895, 0.0, 52.19961929321289]]"
341,-2,-2.0,"[[0.0, 45.1127245426178, 235.52142989635468]]"
342,-2,-2.0,"[[3917.7120550870895, 1.4550840854644775, 42.61389863491058]]"
343,-2,-2.0,"[[14.232507348060608, 145.93173670768738, 186.83888256549835]]"
344,-2,-2.0,"[[7607.107471346855, 40.512192487716675, 57.93980687856674]]"
345,-2,-2.0,"[[38.8764026761055, 435.0591051578522, 18.838283002376556]]"
